Country,State,Start,End,Level
Slovakia,Slovakia, 2020-03-16[141], 2020-04-22[142],National
South Africa,South Africa, 2020-03-26[143], 2020-04-30[144],National
Spain,Spain, 2020-03-14[145], 2020-05-09[146],National
Switzerland,Switzerland, 2020-03-17[147], 2020-04-27 to  2020-05-11[148],National
Thailand,Thailand, 2020-03-25[149], 2020-05-31[150],National
Trinidad and Tobago,Trinidad and Tobago, 2020-03-17[151], 2020-03-31[151],National
Tunisia,Tunisia, 2020-03-22[152], 2020-04-19[153],National
Turkey,Turkey, 2020-04-23[154], 2020-04-27[154],National[k]
Ukraine,Ukraine, 2020-03-17[120], 2020-04-24[120],National
United Arab Emirates,United Arab Emirates, 2020-03-26[155], 2020-04-17[156],National
United Kingdom,United Kingdom, 2020-03-23[157],,National
United States,California, 2020-03-19[158],,State
United States,"Clark County, NV", 2020-03-20[159],,County
United States,Connecticut, 2020-03-23[160], 2020-04-22[161],State
United States,Illinois, 2020-03-21[162], 2020-05-30[163],State
United States,"Kansas City, KS", 2020-03-24[164], 2020-04-19[165],City
United States,Massachusetts, 2020-03-24[166], 2020-05-04[166],State
United States,Michigan, 2020-03-24[167], 2020-04-13[161],State
United States,New York, 2020-03-20[168], 2020-05-15[169],State
United States,Oregon, 2020-03-24[170],,State
United States,Wisconsin, 2020-03-24[171],,State
Venezuela,Venezuela, 2020-03-17[172], 2020-05-13[173],National
Zimbabwe,Zimbabwe, 2020-03-30[174], 2020-05-02[175],National
